envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
262	3414000	3414000	3414000	3294000	2934000	4014000	
263	3459000	3531000	3411000	3291000	3051000	4011000	
264	3552000	3528000	3528000	3408000	3168000	4128000	
265	3549000	3525000	3525000	3405000	3165000	4125000	
266	3594000	3522000	3642000	3402000	3282000	4122000	
267	3615000	3519000	3639000	3399000	3399000	4119000	
268	3636000	3636000	3636000	3396000	3396000	4116000	
269	3681000	3633000	3633000	3513000	3513000	4113000	
270	3702000	3630000	3630000	3630000	3510000	4110000	
271	3699000	3627000	3627000	3627000	3507000	4107000	
272	3696000	3624000	3624000	3624000	3504000	4104000	
273	3693000	3621000	3621000	3621000	3501000	4101000	
274	3714000	3618000	3618000	3618000	3498000	4218000	
275	3711000	3615000	3615000	3615000	3495000	4215000	
276	3732000	3612000	3612000	3732000	3492000	4212000	
277	3777000	3729000	3609000	3849000	3489000	4209000	
278	3798000	3726000	3726000	3846000	3486000	4206000	
279	3795000	3723000	3723000	3843000	3483000	4203000	
280	3816000	3720000	3840000	3840000	3480000	4200000	
281	3837000	3717000	3837000	3837000	3597000	4197000	
282	3834000	3714000	3834000	3834000	3594000	4194000	
283	3855000	3831000	3831000	3831000	3591000	4191000	
284	3876000	3948000	3828000	3828000	3588000	4188000	
285	3873000	3945000	3825000	3825000	3585000	4185000	
286	3870000	3942000	3822000	3822000	3582000	4182000	
287	3891000	4059000	3819000	3819000	3579000	4179000	
288	3912000	4056000	3816000	3936000	3576000	4176000	
289	3909000	4053000	3813000	3933000	3573000	4173000	
290	3954000	4170000	3810000	4050000	3570000	4170000	
291	3951000	4167000	3807000	4047000	3567000	4167000	
292	3948000	4164000	3804000	4044000	3564000	4164000	
293	3993000	4161000	3801000	4041000	3681000	4281000	
294	4014000	4158000	3798000	4038000	3798000	4278000	
295	4059000	4155000	3795000	4155000	3915000	4275000	
296	4056000	4152000	3792000	4152000	3912000	4272000	
297	4077000	4149000	3789000	4149000	3909000	4389000	
298	4098000	4146000	3786000	4146000	4026000	4386000	
299	4119000	4143000	3903000	4143000	4023000	4383000	
300	4140000	4140000	3900000	4260000	4020000	4380000	
301	4161000	4137000	3897000	4257000	4017000	4497000	
302	4158000	4134000	3894000	4254000	4014000	4494000	
303	4155000	4131000	3891000	4251000	4011000	4491000	
304	4152000	4128000	3888000	4248000	4008000	4488000	
305	4149000	4125000	3885000	4245000	4005000	4485000	
306	4170000	4122000	3882000	4242000	4122000	4482000	
307	4191000	4119000	3879000	4239000	4239000	4479000	
308	4212000	4116000	3876000	4236000	4236000	4596000	
309	4209000	4113000	3873000	4233000	4233000	4593000	
310	4230000	4110000	3870000	4230000	4350000	4590000	
311	4251000	4107000	3867000	4227000	4467000	4587000	
312	4248000	4104000	3864000	4224000	4464000	4584000	
313	4293000	4101000	3981000	4221000	4461000	4701000	
314	4314000	4218000	3978000	4218000	4458000	4698000	
315	4311000	4215000	3975000	4215000	4455000	4695000	
316	4332000	4212000	3972000	4212000	4572000	4692000	
317	4353000	4209000	3969000	4329000	4569000	4689000	
318	4374000	4206000	3966000	4326000	4686000	4686000	
319	4371000	4203000	3963000	4323000	4683000	4683000	
320	4416000	4200000	3960000	4440000	4680000	4800000	
321	4437000	4197000	3957000	4437000	4797000	4797000	
322	4434000	4194000	3954000	4434000	4794000	4794000	
323	4431000	4191000	3951000	4431000	4791000	4791000	
324	4452000	4188000	3948000	4428000	4788000	4908000	
325	4473000	4305000	3945000	4425000	4785000	4905000	
326	4470000	4302000	3942000	4422000	4782000	4902000	
327	4491000	4299000	3939000	4419000	4779000	5019000	
328	4512000	4296000	3936000	4416000	4896000	5016000	
329	4581000	4293000	4053000	4533000	5013000	5013000	
330	4578000	4290000	4050000	4530000	5010000	5010000	
331	4623000	4407000	4167000	4527000	5007000	5007000	
332	4668000	4404000	4284000	4644000	5004000	5004000	
333	4713000	4521000	4281000	4641000	5121000	5001000	
334	4734000	4518000	4398000	4638000	5118000	4998000	
335	4755000	4515000	4395000	4635000	5115000	5115000	
336	4752000	4512000	4392000	4632000	5112000	5112000	
337	4773000	4509000	4389000	4629000	5229000	5109000	
338	4770000	4506000	4386000	4626000	5226000	5106000	
339	4791000	4503000	4383000	4623000	5223000	5223000	
340	4812000	4620000	4380000	4620000	5220000	5220000	
341	4833000	4617000	4377000	4617000	5217000	5337000	
342	4854000	4734000	4374000	4614000	5214000	5334000	
343	4875000	4731000	4371000	4611000	5331000	5331000	
344	4872000	4728000	4368000	4608000	5328000	5328000	
345	4893000	4725000	4365000	4605000	5445000	5325000	
346	4914000	4722000	4362000	4602000	5562000	5322000	
347	4911000	4719000	4359000	4599000	5559000	5319000	
348	4908000	4716000	4356000	4596000	5556000	5316000	
349	4953000	4833000	4473000	4593000	5553000	5313000	
350	4998000	4950000	4470000	4590000	5550000	5430000	
351	5019000	4947000	4467000	4707000	5547000	5427000	
352	5040000	5064000	4464000	4704000	5544000	5424000	
353	5037000	5061000	4461000	4701000	5541000	5421000	
354	5082000	5178000	4458000	4698000	5538000	5538000	
355	5103000	5175000	4455000	4695000	5655000	5535000	
356	5124000	5172000	4572000	4692000	5652000	5532000	
357	5121000	5169000	4569000	4689000	5649000	5529000	
358	5118000	5166000	4566000	4686000	5646000	5526000	
359	5115000	5163000	4563000	4683000	5643000	5523000	
360	5112000	5160000	4560000	4680000	5640000	5520000	
361	5133000	5157000	4557000	4677000	5637000	5637000	
362	5130000	5154000	4554000	4674000	5634000	5634000	
363	5151000	5151000	4551000	4671000	5631000	5751000	
364	5172000	5268000	4548000	4668000	5628000	5748000	
365	5217000	5385000	4545000	4785000	5625000	5745000	
366	5214000	5382000	4542000	4782000	5622000	5742000	
367	5211000	5379000	4539000	4779000	5619000	5739000	
368	5232000	5376000	4656000	4776000	5616000	5736000	
369	5253000	5493000	4653000	4773000	5613000	5733000	
370	5274000	5490000	4650000	4770000	5730000	5730000	
371	5295000	5487000	4647000	4887000	5727000	5727000	
372	5292000	5484000	4644000	4884000	5724000	5724000	
373	5313000	5481000	4641000	4881000	5841000	5721000	
374	5310000	5478000	4638000	4878000	5838000	5718000	
375	5355000	5475000	4635000	4995000	5835000	5835000	
376	5352000	5472000	4632000	4992000	5832000	5832000	
377	5349000	5469000	4629000	4989000	5829000	5829000	
378	5346000	5466000	4626000	4986000	5826000	5826000	
379	5367000	5463000	4623000	5103000	5823000	5823000	
380	5364000	5460000	4620000	5100000	5820000	5820000	
381	5385000	5457000	4737000	5097000	5817000	5817000	
382	5454000	5574000	4734000	5094000	5934000	5934000	
383	5451000	5571000	4731000	5091000	5931000	5931000	
384	5448000	5568000	4728000	5088000	5928000	5928000	
385	5445000	5565000	4725000	5085000	5925000	5925000	
386	5466000	5562000	4722000	5082000	5922000	6042000	
387	5487000	5559000	4719000	5199000	5919000	6039000	
388	5484000	5556000	4716000	5196000	5916000	6036000	
389	5529000	5673000	4713000	5193000	5913000	6153000	
390	5550000	5670000	4710000	5190000	5910000	6270000	
391	5571000	5667000	4707000	5187000	6027000	6267000	
392	5568000	5664000	4704000	5184000	6024000	6264000	
393	5565000	5661000	4701000	5181000	6021000	6261000	
394	5562000	5658000	4698000	5178000	6018000	6258000	
395	5583000	5655000	4695000	5175000	6135000	6255000	
396	5580000	5652000	4692000	5172000	6132000	6252000	
397	5577000	5649000	4689000	5169000	6129000	6249000	
