envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
347	5127000	6639000	5079000	4599000	4839000	4479000	
348	5124000	6636000	5076000	4596000	4836000	4476000	
349	5121000	6633000	5073000	4593000	4833000	4473000	
350	5142000	6750000	5070000	4590000	4830000	4470000	
351	5187000	6747000	5067000	4707000	4947000	4467000	
352	5184000	6744000	5064000	4704000	4944000	4464000	
353	5253000	6741000	5181000	4821000	5061000	4461000	
354	5274000	6738000	5178000	4818000	5058000	4578000	
355	5271000	6735000	5175000	4815000	5055000	4575000	
356	5292000	6732000	5172000	4932000	5052000	4572000	
357	5289000	6729000	5169000	4929000	5049000	4569000	
358	5310000	6726000	5166000	5046000	5046000	4566000	
359	5307000	6723000	5163000	5043000	5043000	4563000	
360	5400000	6840000	5280000	5160000	5160000	4560000	
361	5421000	6837000	5277000	5157000	5277000	4557000	
362	5418000	6834000	5274000	5154000	5274000	4554000	
363	5415000	6831000	5271000	5151000	5271000	4551000	
364	5412000	6828000	5268000	5148000	5268000	4548000	
365	5409000	6825000	5265000	5145000	5265000	4545000	
366	5430000	6822000	5262000	5262000	5262000	4542000	
367	5451000	6819000	5379000	5259000	5259000	4539000	
368	5472000	6816000	5376000	5376000	5256000	4536000	
369	5469000	6813000	5373000	5373000	5253000	4533000	
370	5490000	6930000	5370000	5370000	5250000	4530000	
371	5535000	7047000	5367000	5367000	5247000	4647000	
372	5556000	7044000	5484000	5364000	5244000	4644000	
373	5601000	7041000	5481000	5361000	5361000	4761000	
374	5622000	7038000	5478000	5358000	5358000	4878000	
375	5667000	7035000	5475000	5475000	5355000	4995000	
376	5664000	7032000	5472000	5472000	5352000	4992000	
377	5661000	7029000	5469000	5469000	5349000	4989000	
378	5658000	7026000	5466000	5466000	5346000	4986000	
379	5703000	7143000	5463000	5463000	5343000	5103000	
380	5748000	7140000	5580000	5460000	5340000	5220000	
381	5745000	7137000	5577000	5457000	5337000	5217000	
382	5742000	7134000	5574000	5454000	5334000	5214000	
383	5739000	7131000	5571000	5451000	5331000	5211000	
384	5736000	7128000	5568000	5448000	5328000	5208000	
385	5757000	7125000	5565000	5565000	5325000	5205000	
386	5778000	7122000	5562000	5562000	5442000	5202000	
387	5775000	7119000	5559000	5559000	5439000	5199000	
388	5772000	7116000	5556000	5556000	5436000	5196000	
389	5793000	7113000	5553000	5553000	5433000	5313000	
390	5814000	7110000	5550000	5550000	5430000	5430000	
391	5811000	7107000	5547000	5547000	5427000	5427000	
392	5808000	7104000	5544000	5544000	5424000	5424000	
393	5805000	7101000	5541000	5541000	5421000	5421000	
394	5826000	7098000	5538000	5538000	5538000	5418000	
395	5823000	7095000	5535000	5535000	5535000	5415000	
396	5892000	7212000	5532000	5652000	5652000	5412000	
397	5913000	7209000	5529000	5649000	5769000	5409000	
398	5934000	7206000	5646000	5646000	5766000	5406000	
399	5955000	7323000	5643000	5643000	5763000	5403000	
400	5976000	7320000	5640000	5760000	5760000	5400000	
401	5973000	7317000	5637000	5757000	5757000	5397000	
