envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
220	2820000	3060000	2340000	2580000	3300000	2820000	
221	2817000	3057000	2337000	2577000	3297000	2817000	
222	2838000	3054000	2454000	2574000	3294000	2814000	
223	2859000	3051000	2451000	2571000	3411000	2811000	
224	2880000	3048000	2448000	2568000	3408000	2928000	
225	2877000	3045000	2445000	2565000	3405000	2925000	
226	2898000	3162000	2442000	2562000	3402000	2922000	
227	2895000	3159000	2439000	2559000	3399000	2919000	
228	2916000	3156000	2436000	2676000	3396000	2916000	
229	2913000	3153000	2433000	2673000	3393000	2913000	
230	2910000	3150000	2430000	2670000	3390000	2910000	
231	2931000	3267000	2427000	2667000	3387000	2907000	
232	2928000	3264000	2424000	2664000	3384000	2904000	
233	2925000	3261000	2421000	2661000	3381000	2901000	
234	2922000	3258000	2418000	2658000	3378000	2898000	
235	2943000	3255000	2535000	2655000	3375000	2895000	
236	2940000	3252000	2532000	2652000	3372000	2892000	
237	2937000	3249000	2529000	2649000	3369000	2889000	
238	2934000	3246000	2526000	2646000	3366000	2886000	
239	2955000	3363000	2523000	2643000	3363000	2883000	
240	2976000	3360000	2520000	2760000	3360000	2880000	
241	2997000	3477000	2517000	2757000	3357000	2877000	
242	3042000	3594000	2634000	2754000	3354000	2874000	
243	3087000	3711000	2631000	2751000	3471000	2871000	
244	3132000	3708000	2628000	2748000	3588000	2988000	
245	3129000	3705000	2625000	2745000	3585000	2985000	
246	3150000	3702000	2742000	2742000	3582000	2982000	
247	3147000	3699000	2739000	2739000	3579000	2979000	
248	3144000	3696000	2736000	2736000	3576000	2976000	
249	3165000	3693000	2853000	2733000	3573000	2973000	
250	3162000	3690000	2850000	2730000	3570000	2970000	
251	3159000	3687000	2847000	2727000	3567000	2967000	
252	3156000	3684000	2844000	2724000	3564000	2964000	
253	3177000	3681000	2841000	2841000	3561000	2961000	
254	3174000	3678000	2838000	2838000	3558000	2958000	
255	3171000	3675000	2835000	2835000	3555000	2955000	
256	3168000	3672000	2832000	2832000	3552000	2952000	
257	3237000	3789000	2949000	2829000	3549000	3069000	
258	3282000	3786000	2946000	2946000	3546000	3186000	
259	3327000	3903000	2943000	3063000	3543000	3183000	
260	3324000	3900000	2940000	3060000	3540000	3180000	
261	3417000	4017000	3057000	3177000	3657000	3177000	
262	3438000	4014000	3054000	3294000	3654000	3174000	
263	3435000	4011000	3051000	3291000	3651000	3171000	
264	3432000	4008000	3048000	3288000	3648000	3168000	
265	3501000	4005000	3165000	3405000	3765000	3165000	
266	3522000	4002000	3162000	3402000	3882000	3162000	
267	3543000	3999000	3159000	3399000	3999000	3159000	
268	3540000	3996000	3156000	3396000	3996000	3156000	
269	3537000	3993000	3153000	3393000	3993000	3153000	
270	3582000	3990000	3270000	3390000	3990000	3270000	
271	3579000	3987000	3267000	3387000	3987000	3267000	
272	3576000	3984000	3264000	3384000	3984000	3264000	
273	3573000	3981000	3261000	3381000	3981000	3261000	
274	3570000	3978000	3258000	3378000	3978000	3258000	
275	3567000	3975000	3255000	3375000	3975000	3255000	
276	3588000	3972000	3252000	3372000	4092000	3252000	
277	3633000	4089000	3249000	3369000	4089000	3369000	
278	3630000	4086000	3246000	3366000	4086000	3366000	
279	3651000	4083000	3363000	3363000	4083000	3363000	
280	3672000	4200000	3360000	3360000	4080000	3360000	
281	3669000	4197000	3357000	3357000	4077000	3357000	
282	3690000	4194000	3474000	3354000	4074000	3354000	
283	3711000	4191000	3591000	3351000	4071000	3351000	
284	3756000	4188000	3708000	3468000	4068000	3348000	
285	3801000	4185000	3705000	3585000	4185000	3345000	
286	3798000	4182000	3702000	3582000	4182000	3342000	
287	3795000	4179000	3699000	3579000	4179000	3339000	
288	3792000	4176000	3696000	3576000	4176000	3336000	
289	3813000	4173000	3693000	3693000	4173000	3333000	
290	3810000	4170000	3690000	3690000	4170000	3330000	
291	3855000	4167000	3807000	3687000	4287000	3327000	
292	3852000	4164000	3804000	3684000	4284000	3324000	
293	3873000	4161000	3801000	3801000	4281000	3321000	
294	3870000	4158000	3798000	3798000	4278000	3318000	
295	3867000	4155000	3795000	3795000	4275000	3315000	
296	3888000	4152000	3792000	3792000	4272000	3432000	
297	3885000	4149000	3789000	3789000	4269000	3429000	
298	3906000	4146000	3786000	3786000	4266000	3546000	
299	3927000	4143000	3783000	3783000	4383000	3543000	
300	3972000	4260000	3900000	3780000	4380000	3540000	
301	3993000	4257000	3897000	3897000	4377000	3537000	
302	3990000	4254000	3894000	3894000	4374000	3534000	
303	3987000	4251000	3891000	3891000	4371000	3531000	
304	4008000	4248000	3888000	3888000	4368000	3648000	
305	4005000	4245000	3885000	3885000	4365000	3645000	
306	4050000	4242000	3882000	4002000	4362000	3762000	
307	4071000	4239000	3879000	3999000	4479000	3759000	
308	4068000	4236000	3876000	3996000	4476000	3756000	
309	4089000	4233000	3993000	3993000	4473000	3753000	
310	4134000	4350000	3990000	4110000	4470000	3750000	
311	4155000	4347000	3987000	4227000	4467000	3747000	
312	4200000	4344000	4104000	4224000	4584000	3744000	
313	4221000	4341000	4101000	4221000	4581000	3861000	
314	4242000	4458000	4098000	4218000	4578000	3858000	
315	4287000	4455000	4215000	4335000	4575000	3855000	
316	4284000	4452000	4212000	4332000	4572000	3852000	
317	4329000	4449000	4209000	4329000	4689000	3969000	
318	4374000	4446000	4326000	4326000	4686000	4086000	
319	4395000	4443000	4323000	4443000	4683000	4083000	
320	4416000	4440000	4320000	4440000	4680000	4200000	
321	4437000	4437000	4437000	4437000	4677000	4197000	
322	4458000	4434000	4434000	4434000	4674000	4314000	
323	4503000	4431000	4551000	4431000	4671000	4431000	
324	4524000	4428000	4548000	4428000	4668000	4548000	
325	4569000	4545000	4545000	4425000	4785000	4545000	
326	4566000	4542000	4542000	4422000	4782000	4542000	
327	4563000	4539000	4539000	4419000	4779000	4539000	
328	4584000	4536000	4536000	4536000	4776000	4536000	
329	4581000	4533000	4533000	4533000	4773000	4533000	
330	4626000	4530000	4650000	4650000	4770000	4530000	
331	4647000	4647000	4647000	4647000	4767000	4527000	
332	4644000	4644000	4644000	4644000	4764000	4524000	
333	4641000	4641000	4641000	4641000	4761000	4521000	
334	4638000	4638000	4638000	4638000	4758000	4518000	
335	4635000	4635000	4635000	4635000	4755000	4515000	
336	4656000	4632000	4632000	4752000	4752000	4512000	
337	4653000	4629000	4629000	4749000	4749000	4509000	
338	4650000	4626000	4626000	4746000	4746000	4506000	
339	4647000	4623000	4623000	4743000	4743000	4503000	
340	4644000	4620000	4620000	4740000	4740000	4500000	
341	4641000	4617000	4617000	4737000	4737000	4497000	
342	4710000	4734000	4614000	4734000	4854000	4614000	
343	4731000	4731000	4731000	4731000	4851000	4611000	
344	4752000	4728000	4728000	4728000	4968000	4608000	
345	4749000	4725000	4725000	4725000	4965000	4605000	
346	4746000	4722000	4722000	4722000	4962000	4602000	
347	4743000	4719000	4719000	4719000	4959000	4599000	
348	4764000	4716000	4716000	4836000	4956000	4596000	
349	4785000	4713000	4713000	4833000	4953000	4713000	
350	4806000	4830000	4710000	4830000	4950000	4710000	
351	4827000	4827000	4707000	4827000	4947000	4827000	
352	4872000	4824000	4824000	4824000	5064000	4824000	
353	4869000	4821000	4821000	4821000	5061000	4821000	
354	4890000	4818000	4818000	4818000	5058000	4938000	
355	4935000	4935000	4815000	4815000	5055000	5055000	
356	4956000	5052000	4812000	4812000	5052000	5052000	
357	4977000	5049000	4929000	4809000	5049000	5049000	
358	4998000	5166000	4926000	4806000	5046000	5046000	
359	5019000	5283000	4923000	4803000	5043000	5043000	
360	5040000	5280000	4920000	4920000	5040000	5040000	
361	5037000	5277000	4917000	4917000	5037000	5037000	
362	5034000	5274000	4914000	4914000	5034000	5034000	
363	5031000	5271000	4911000	4911000	5031000	5031000	
364	5052000	5388000	4908000	4908000	5028000	5028000	
365	5049000	5385000	4905000	4905000	5025000	5025000	
366	5070000	5382000	4902000	4902000	5022000	5142000	
367	5091000	5379000	5019000	4899000	5019000	5139000	
368	5088000	5376000	5016000	4896000	5016000	5136000	
369	5085000	5373000	5013000	4893000	5013000	5133000	
370	5082000	5370000	5010000	4890000	5010000	5130000	
371	5079000	5367000	5007000	4887000	5007000	5127000	
372	5076000	5364000	5004000	4884000	5004000	5124000	
373	5073000	5361000	5001000	4881000	5001000	5121000	
374	5070000	5358000	4998000	4878000	4998000	5118000	
375	5067000	5355000	4995000	4875000	4995000	5115000	
376	5064000	5352000	4992000	4872000	4992000	5112000	
377	5061000	5349000	4989000	4869000	4989000	5109000	
378	5082000	5346000	5106000	4866000	4986000	5106000	
379	5127000	5343000	5103000	4863000	5103000	5223000	
380	5148000	5340000	5100000	4860000	5100000	5340000	
381	5169000	5457000	5097000	4857000	5097000	5337000	
382	5190000	5454000	5094000	4974000	5094000	5334000	
383	5187000	5451000	5091000	4971000	5091000	5331000	
384	5184000	5448000	5088000	4968000	5088000	5328000	
385	5181000	5445000	5085000	4965000	5085000	5325000	
386	5178000	5442000	5082000	4962000	5082000	5322000	
387	5199000	5439000	5199000	4959000	5079000	5319000	
388	5244000	5556000	5316000	4956000	5076000	5316000	
389	5289000	5673000	5313000	4953000	5193000	5313000	
390	5310000	5790000	5310000	4950000	5190000	5310000	
391	5307000	5787000	5307000	4947000	5187000	5307000	
392	5304000	5784000	5304000	4944000	5184000	5304000	
393	5325000	5781000	5301000	4941000	5181000	5421000	
394	5346000	5778000	5298000	5058000	5178000	5418000	
395	5391000	5895000	5415000	5055000	5175000	5415000	
396	5388000	5892000	5412000	5052000	5172000	5412000	
397	5385000	5889000	5409000	5049000	5169000	5409000	
398	5406000	5886000	5406000	5046000	5166000	5526000	
399	5403000	5883000	5403000	5043000	5163000	5523000	
400	5424000	5880000	5400000	5160000	5160000	5520000	
401	5445000	5877000	5397000	5157000	5277000	5517000	
402	5442000	5874000	5394000	5154000	5274000	5514000	
403	5487000	5871000	5391000	5271000	5391000	5511000	
404	5508000	5868000	5388000	5268000	5508000	5508000	
405	5505000	5865000	5385000	5265000	5505000	5505000	
406	5526000	5982000	5382000	5262000	5502000	5502000	
407	5523000	5979000	5379000	5259000	5499000	5499000	
408	5520000	5976000	5376000	5256000	5496000	5496000	
409	5541000	5973000	5373000	5373000	5493000	5493000	
410	5562000	6090000	5370000	5370000	5490000	5490000	
411	5607000	6207000	5367000	5367000	5487000	5607000	
412	5604000	6204000	5364000	5364000	5484000	5604000	
413	5601000	6201000	5361000	5361000	5481000	5601000	
414	5622000	6198000	5358000	5358000	5598000	5598000	
415	5619000	6195000	5355000	5355000	5595000	5595000	
416	5616000	6192000	5352000	5352000	5592000	5592000	
417	5637000	6309000	5349000	5349000	5589000	5589000	
418	5658000	6306000	5346000	5346000	5706000	5586000	
419	5655000	6303000	5343000	5343000	5703000	5583000	
420	5676000	6300000	5340000	5340000	5820000	5580000	
421	5697000	6297000	5337000	5337000	5817000	5697000	
422	5718000	6294000	5334000	5334000	5814000	5814000	
423	5739000	6291000	5451000	5331000	5811000	5811000	
424	5736000	6288000	5448000	5328000	5808000	5808000	
425	5733000	6285000	5445000	5325000	5805000	5805000	
426	5754000	6282000	5442000	5322000	5802000	5922000	
427	5775000	6279000	5439000	5319000	5919000	5919000	
428	5796000	6276000	5436000	5436000	5916000	5916000	
429	5841000	6273000	5433000	5433000	6033000	6033000	
430	5838000	6270000	5430000	5430000	6030000	6030000	
431	5859000	6267000	5427000	5427000	6027000	6147000	
432	5880000	6264000	5424000	5544000	6024000	6144000	
433	5877000	6261000	5421000	5541000	6021000	6141000	
434	5874000	6258000	5418000	5538000	6018000	6138000	
435	5871000	6255000	5415000	5535000	6015000	6135000	
436	5868000	6252000	5412000	5532000	6012000	6132000	
437	5913000	6249000	5409000	5529000	6129000	6249000	
438	5910000	6246000	5406000	5526000	6126000	6246000	
439	5931000	6243000	5403000	5643000	6123000	6243000	
440	5952000	6360000	5400000	5640000	6120000	6240000	
441	5949000	6357000	5397000	5637000	6117000	6237000	
442	5970000	6354000	5394000	5634000	6234000	6234000	
443	5967000	6351000	5391000	5631000	6231000	6231000	
444	5964000	6348000	5388000	5628000	6228000	6228000	
445	5961000	6345000	5385000	5625000	6225000	6225000	
446	6006000	6342000	5502000	5742000	6222000	6222000	
447	6003000	6339000	5499000	5739000	6219000	6219000	
448	6e+06	6336000	5496000	5736000	6216000	6216000	
449	6021000	6333000	5493000	5733000	6333000	6213000	
450	6018000	6330000	5490000	5730000	6330000	6210000	
451	6063000	6447000	5487000	5847000	6327000	6207000	
452	6084000	6444000	5604000	5844000	6324000	6204000	
453	6105000	6441000	5721000	5841000	6321000	6201000	
454	6102000	6438000	5718000	5838000	6318000	6198000	
455	6147000	6435000	5715000	5955000	6315000	6315000	
456	6168000	6432000	5832000	5952000	6312000	6312000	
457	6165000	6429000	5829000	5949000	6309000	6309000	
458	6186000	6426000	5946000	5946000	6306000	6306000	
459	6207000	6423000	6063000	5943000	6303000	6303000	
460	6228000	6420000	6060000	5940000	6420000	6300000	
461	6225000	6417000	6057000	5937000	6417000	6297000	
462	6270000	6414000	6054000	6054000	6414000	6414000	
463	6291000	6411000	6171000	6051000	6411000	6411000	
464	6288000	6408000	6168000	6048000	6408000	6408000	
465	6309000	6405000	6165000	6045000	6405000	6525000	
466	6306000	6402000	6162000	6042000	6402000	6522000	
467	6351000	6399000	6279000	6159000	6399000	6519000	
468	6348000	6396000	6276000	6156000	6396000	6516000	
469	6345000	6393000	6273000	6153000	6393000	6513000	
470	6366000	6390000	6270000	6270000	6390000	6510000	
471	6363000	6387000	6267000	6267000	6387000	6507000	
472	6384000	6384000	6384000	6264000	6384000	6504000	
473	6381000	6381000	6381000	6261000	6381000	6501000	
474	6402000	6378000	6378000	6258000	6378000	6618000	
475	6447000	6375000	6495000	6255000	6375000	6735000	
476	6468000	6372000	6612000	6252000	6372000	6732000	
477	6489000	6489000	6609000	6249000	6369000	6729000	
478	6486000	6486000	6606000	6246000	6366000	6726000	
479	6507000	6483000	6603000	6363000	6363000	6723000	
480	6504000	6480000	6600000	6360000	6360000	6720000	
481	6501000	6477000	6597000	6357000	6357000	6717000	
482	6522000	6474000	6714000	6354000	6354000	6714000	
483	6543000	6471000	6711000	6351000	6351000	6831000	
484	6540000	6468000	6708000	6348000	6348000	6828000	
485	6537000	6465000	6705000	6345000	6345000	6825000	
486	6534000	6462000	6702000	6342000	6342000	6822000	
487	6579000	6579000	6819000	6339000	6339000	6819000	
488	6600000	6576000	6816000	6456000	6336000	6816000	
489	6645000	6573000	6813000	6573000	6453000	6813000	
490	6666000	6690000	6810000	6570000	6450000	6810000	
491	6663000	6687000	6807000	6567000	6447000	6807000	
492	6660000	6684000	6804000	6564000	6444000	6804000	
493	6657000	6681000	6801000	6561000	6441000	6801000	
494	6702000	6678000	6798000	6678000	6438000	6918000	
495	6723000	6675000	6795000	6675000	6435000	7035000	
496	6720000	6672000	6792000	6672000	6432000	7032000	
497	6717000	6669000	6789000	6669000	6429000	7029000	
498	6762000	6786000	6786000	6666000	6546000	7026000	
499	6759000	6783000	6783000	6663000	6543000	7023000	
500	6780000	6900000	6780000	6660000	6540000	7020000	
501	6801000	6897000	6777000	6777000	6537000	7017000	
502	6846000	6894000	6894000	6774000	6534000	7134000	
503	6915000	7011000	7011000	6771000	6651000	7131000	
504	6936000	7008000	7008000	6768000	6648000	7248000	
505	6933000	7005000	7005000	6765000	6645000	7245000	
506	6930000	7002000	7002000	6762000	6642000	7242000	
507	6927000	6999000	6999000	6759000	6639000	7239000	
508	6972000	6996000	6996000	6876000	6756000	7236000	
509	6993000	6993000	7113000	6873000	6753000	7233000	
510	7014000	7110000	7110000	6870000	6750000	7230000	
511	7011000	7107000	7107000	6867000	6747000	7227000	
512	7008000	7104000	7104000	6864000	6744000	7224000	
513	7005000	7101000	7101000	6861000	6741000	7221000	
514	7050000	7218000	7218000	6858000	6738000	7218000	
515	7071000	7215000	7215000	6855000	6735000	7335000	
516	7068000	7212000	7212000	6852000	6732000	7332000	
517	7065000	7209000	7209000	6849000	6729000	7329000	
518	7062000	7206000	7206000	6846000	6726000	7326000	
519	7059000	7203000	7203000	6843000	6723000	7323000	
520	7056000	7200000	7200000	6840000	6720000	7320000	
521	7077000	7197000	7197000	6837000	6837000	7317000	
522	7098000	7194000	7194000	6954000	6834000	7314000	
523	7119000	7311000	7191000	6951000	6831000	7311000	
524	7116000	7308000	7188000	6948000	6828000	7308000	
525	7137000	7305000	7185000	6945000	6825000	7425000	
526	7134000	7302000	7182000	6942000	6822000	7422000	
527	7131000	7299000	7179000	6939000	6819000	7419000	
528	7152000	7296000	7296000	6936000	6816000	7416000	
529	7173000	7413000	7293000	6933000	6813000	7413000	
530	7170000	7410000	7290000	6930000	6810000	7410000	
