envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
204	2652000	2748000	2988000	2508000	2268000	2748000	
205	2649000	2745000	2985000	2505000	2265000	2745000	
206	2718000	2862000	2982000	2622000	2262000	2862000	
207	2715000	2859000	2979000	2619000	2259000	2859000	
208	2760000	2976000	2976000	2736000	2256000	2856000	
209	2757000	2973000	2973000	2733000	2253000	2853000	
210	2778000	2970000	2970000	2730000	2250000	2970000	
211	2799000	2967000	2967000	2727000	2247000	3087000	
212	2796000	2964000	2964000	2724000	2244000	3084000	
213	2817000	3081000	2961000	2721000	2241000	3081000	
214	2814000	3078000	2958000	2718000	2238000	3078000	
215	2811000	3075000	2955000	2715000	2235000	3075000	
216	2808000	3072000	2952000	2712000	2232000	3072000	
217	2829000	3069000	3069000	2709000	2229000	3069000	
218	2850000	3066000	3066000	2826000	2226000	3066000	
219	2847000	3063000	3063000	2823000	2223000	3063000	
220	2844000	3060000	3060000	2820000	2220000	3060000	
221	2865000	3057000	3177000	2817000	2217000	3057000	
222	2886000	3054000	3174000	2934000	2214000	3054000	
223	2883000	3051000	3171000	2931000	2211000	3051000	
224	2904000	3048000	3288000	2928000	2208000	3048000	
225	2925000	3045000	3285000	2925000	2205000	3165000	
226	2922000	3042000	3282000	2922000	2202000	3162000	
227	2943000	3039000	3279000	2919000	2199000	3279000	
228	2940000	3036000	3276000	2916000	2196000	3276000	
229	2937000	3033000	3273000	2913000	2193000	3273000	
230	2958000	3030000	3270000	2910000	2310000	3270000	
231	2955000	3027000	3267000	2907000	2307000	3267000	
232	2952000	3024000	3264000	2904000	2304000	3264000	
233	2949000	3021000	3261000	2901000	2301000	3261000	
234	2946000	3018000	3258000	2898000	2298000	3258000	
235	2967000	3135000	3255000	2895000	2295000	3255000	
236	2964000	3132000	3252000	2892000	2292000	3252000	
237	2961000	3129000	3249000	2889000	2289000	3249000	
238	2958000	3126000	3246000	2886000	2286000	3246000	
239	2979000	3123000	3243000	2883000	2283000	3363000	
240	3e+06	3120000	3240000	2880000	2400000	3360000	
241	2997000	3117000	3237000	2877000	2397000	3357000	
242	2994000	3114000	3234000	2874000	2394000	3354000	
243	3015000	3111000	3231000	2871000	2511000	3351000	
244	3012000	3108000	3228000	2868000	2508000	3348000	
245	3009000	3105000	3225000	2865000	2505000	3345000	
246	3006000	3102000	3222000	2862000	2502000	3342000	
247	3003000	3099000	3219000	2859000	2499000	3339000	
248	3e+06	3096000	3216000	2856000	2496000	3336000	
249	2997000	3093000	3213000	2853000	2493000	3333000	
